t1,t2,t3,t4,t5,t6,t7,t8,group,mass1,mass2
1,1,1,1,1,1,1,0,1,129.884,16869.953
1,1,1,1,1,1,0,1,1,127.702,16307.8474
1,1,1,1,1,1,0,0,1,131.818,17375.9906
1,1,1,1,1,1,0,0,1,129.769,16839.8842
1,1,1,1,1,1,0,0,1,89.985,8097.2656
1,1,1,1,1,1,0,0,1,122.753,15068.1781
1,1,1,1,1,1,0,0,1,108.268,11721.9097
1,1,1,1,1,1,0,0,1,122.952,15117.1464
1,1,1,1,1,0,0,1,1,133.153,17729.602
1,1,1,1,1,0,0,0,1,132.779,17630.2152
1,1,1,1,1,0,0,0,1,99.22,9844.5868
1,1,1,1,1,0,0,0,1,106.825,11411.6506
1,1,1,1,1,0,0,0,1,126.521,16007.5325
1,1,1,1,1,0,0,0,1,109.762,12047.6245
1,1,1,1,1,0,0,0,1,107.678,11594.4514
1,1,1,1,0,1,0,0,1,142.864,20410.0854
1,1,1,1,0,0,0,0,1,103.453,10702.5199
1,1,1,1,0,0,0,0,1,158.715,25190.4497
1,1,1,1,0,0,0,0,1,101.882,10379.9167
1,1,1,1,0,0,0,0,1,145.677,21221.8572
1,1,1,1,0,0,0,0,1,103.544,10721.4602
1,1,1,1,0,0,0,0,1,105.1,11046.0824
1,1,1,1,0,0,0,0,1,137.201,18824.2496
1,1,1,1,0,0,0,0,1,140.034,19609.5361
1,1,1,1,0,0,0,0,1,99.853,9970.5788
1,1,1,1,0,0,0,0,1,122.699,15054.9288
1,1,1,1,0,0,0,0,1,108.226,11712.8969
1,1,1,1,0,0,0,0,1,74.073,5486.7463
1,1,1,1,0,0,0,0,1,126.236,15935.4505
1,1,1,1,0,0,0,0,1,102.844,10576.9292
1,1,1,1,0,0,0,0,1,125.015,15628.6396
1,1,1,0,1,1,1,0,1,151.913,23077.5688
1,1,1,0,1,1,1,0,1,166.995,27887.3106
1,1,1,0,1,1,0,0,1,126.349,15964.1066
1,1,1,0,1,0,0,0,1,108.13,11692.1872
1,1,1,0,1,0,0,0,1,111.075,12337.5994
1,1,1,0,1,0,0,0,1,113.826,12956.4311
1,1,1,0,1,0,0,0,1,57.18,3269.5352
1,1,1,0,1,0,0,0,1,115.613,13366.4272
1,1,1,0,0,0,0,0,1,139.674,19508.7839
1,1,1,0,0,0,0,0,1,118.589,14063.2712
1,1,1,0,0,0,0,0,1,121.29,14711.3731
1,1,1,0,0,0,0,0,1,105.781,11189.663
1,1,1,0,0,0,0,0,1,100.013,10002.6858
1,1,1,0,0,0,0,0,1,107.443,11544.0637
1,1,1,0,0,0,0,0,1,134.128,17990.4485
1,1,1,0,0,0,0,0,1,115.179,13266.1294
1,1,1,0,0,0,0,0,1,100.825,10165.6973
1,1,1,0,0,0,0,0,1,130.722,17088.151
1,1,1,0,0,0,0,0,1,100.132,10026.39
1,1,1,0,0,0,0,0,1,114.305,13065.6366
